Filter Id,Filter Name,Filter Enable,Filter Visibility,View Type,View Name,Is View Template,View Template Name Applied,Sheet Info
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,ZZ-80003-8_Level 7,False,Plan-8000,ZZ-80003 - Proposed GIA Key - 8
3848791,Floors-SURV,True,False,AreaPlan,ZZ-80003-8_Level 7,False,Plan-8000,ZZ-80003 - Proposed GIA Key - 8
8775803,GM-Riser,True,False,AreaPlan,ZZ-80003-8_Level 7,False,Plan-8000,ZZ-80003 - Proposed GIA Key - 8
11845451,Property Lines-Demolition Plan,True,False,AreaPlan,ZZ-80003-8_Level 7,False,Plan-8000,ZZ-80003 - Proposed GIA Key - 8
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,True,AreaPlan,ZZ-80003-9_Level 8,False,Plan-8000,ZZ-80003 - Proposed GIA Key - 9
1788778,Site-Family Name-Bike,True,True,AreaPlan,ZZ-80003-9_Level 8,False,Plan-8000,ZZ-80003 - Proposed GIA Key - 9
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,ZZ-80003-9_Level 8,False,Plan-8000,ZZ-80003 - Proposed GIA Key - 9
3848791,Floors-SURV,True,False,AreaPlan,ZZ-80003-9_Level 8,False,Plan-8000,ZZ-80003 - Proposed GIA Key - 9
8775803,GM-Riser,True,False,AreaPlan,ZZ-80003-9_Level 8,False,Plan-8000,ZZ-80003 - Proposed GIA Key - 9
11845451,Property Lines-Demolition Plan,True,False,AreaPlan,ZZ-80003-9_Level 8,False,Plan-8000,ZZ-80003 - Proposed GIA Key - 9
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,True,AreaPlan,ZZ-80003-10_Level 9,False,Plan-8000,ZZ-80003 - Proposed GIA Key - 10
1788778,Site-Family Name-Bike,True,True,AreaPlan,ZZ-80003-10_Level 9,False,Plan-8000,ZZ-80003 - Proposed GIA Key - 10
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,ZZ-80003-10_Level 9,False,Plan-8000,ZZ-80003 - Proposed GIA Key - 10
